time,coordinate,density
0,0,860
0,25,850
0,50,850
0,75,850
0,100,850
1,0,860
1,25,860
1,50,850
1,75,850
1,100,850
2,0,860
2,25,860
2,50,860
2,75,850
2,100,850
3,0,860
3,25,860
3,50,860
3,75,860
3,100,850
4,0,860
4,25,860
4,50,860
4,75,860
4,100,860
5,0,860
5,25,860
5,50,860
5,75,860
5,100,860
6,0,860
6,25,860
6,50,860
6,75,860
6,100,860
7,0,860
7,25,860
7,50,860
7,75,860
7,100,860
8,0,860
8,25,860
8,50,860
8,75,860
8,100,860
9,0,860
9,25,860
9,50,860
9,75,860
9,100,860
